file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00008_05019.050-05021.850,ཨོང་དེ་ཡང་འགྲོ་བ་གཉིས་ལས་གཞན་དུ་སྐྱེ་ས།  ,ong de yang 'gro ba gnyis las gzhan du skye sa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05019.050-05021.850.wav,STT_TT,3,41,2.800000000000182,wav16k/STT_TT00008_05019.050-05021.850.wav,ཧུམ། དེ་ཡང་འགྲོ་བ་གཉིས་ལས་གཞན་དུ་སྐྱེསས་
STT_TT00008_05022.650-05023.400,བདེ་འགྲོའམ་ངན་འགྲོར།  ,bde 'gro'am ngan 'gror/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05022.650-05023.400.wav,STT_TT,3,22,0.75,wav16k/STT_TT00008_05022.650-05023.400.wav,བདེ་འགྲོའང་ངན་འགྲོར་
STT_TT00008_05024.000-05026.400,དེ་དག་ཏུ་སྐྱེ་བ་ལ་རང་དབང་ནི་མེད་པས།  ,de dag tu skye ba la rang dbang ni med pas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05024.000-05026.400.wav,STT_TT,3,37,2.399999999999636,wav16k/STT_TT00008_05024.000-05026.400.wav,དེ་དག་ཏུ་སྐྱེ་བ་ལ་རང་དབང་ནི་མེད་པས་
STT_TT00008_05027.000-05029.150,ཨོང་ལས་བསྐྱེད་པའི་གཞན་དབང་ཅན་ཡིན་པས།  ,ong las bskyed pa'i gzhan dbang can yin pas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05027.000-05029.150.wav,STT_TT,3,38,2.149999999999636,wav16k/STT_TT00008_05027.000-05029.150.wav,ཨུམ། ལས་སྐྱེ་པའི་གཞན་དབང་ཅན་ཡིན་པས་
STT_TT00008_05029.400-05030.350,ལས་དཀར་ནག་གིས།  ,las dkar nag gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05029.400-05030.350.wav,STT_TT,3,16,0.9500000000007276,wav16k/STT_TT00008_05029.400-05030.350.wav,ལས་ དཀར་ནག་གི་
STT_TT00008_05032.300-05036.800,དེ་ལྟར་ན་བདག་ངན་སོང་དུ་སྐྱེས་ན་ཇི་འདྲ་བ་ཞིག་ཏུ་འགྱུར་སྙམ་དུ་ངན་འགྲོའི་སྡུག་བསྔལ་བསམ་པར་བྱ།  ,de ltar na bdag ngan song du skyes na ji 'dra ba zhig tu 'gyur snyam du ngan 'gro'i sdug bsngal bsam par bya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05032.300-05036.800.wav,STT_TT,3,92,4.5,wav16k/STT_TT00008_05032.300-05036.800.wav,དེ་ལྟར་ན་བདག་ངན་སོང་དུ་སྐྱེས་ན་ཇི་འདྲ་བ་ཞིག་ཏུ་འགྱུར་སྙམ་དུ་ངན་འགྲོའི་སྡུག་བསྔལ་བསམ་པར་བྱ་
STT_TT00008_05038.550-05039.200,དམྱལ་བར་སྙེག་པ་ཡང་།  ,dmyal bar snyeg pa yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05038.550-05039.200.wav,STT_TT,3,21,0.6499999999996362,wav16k/STT_TT00008_05038.550-05039.200.wav,དམྱལ་བ་རྙེད་པ་
STT_TT00008_05039.650-05040.300,བཀྲེས་སྐོམ་དག་གིས།  ,bkres skom dag gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05039.650-05040.300.wav,STT_TT,3,20,0.6500000000005457,wav16k/STT_TT00008_05039.650-05040.300.wav,བཀྲེས་སྐོམ་ལྟ་གི་རིགས།་
STT_TT00008_05041.050-05042.700,ཡི་དྭགས་དག་ཀྱང་དྲན་པར། རྨོངས་པའི་ ,yi dwags dag kyang dran par/_rmongs pa'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_05041.050-05042.700.wav,STT_TT,3,34,1.6499999999996362,wav16k/STT_TT00008_05041.050-05042.700.wav,ཡི་དྭགས་དག་ཀྱང་དྲན་པར་བྱ་མོངས་པའི་
STT_TT00008_04893.400-04894.100,ཨོ་དེ་ལྟར་ ,o de ltar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00008_04893.400-04894.100.wav,STT_TT,3,11,0.7000000000007276,wav16k/STT_TT00008_04893.400-04894.100.wav,ཨོ་དེ་ལྟར་
